Desconto;Quant_Min;Texto108;Texto111;xvencimento;xlista;I_E;D04_cod;D04_Descricao;xgrupo;D04_Tipo;D04_UniPro;D04_Precoven;Texto102;Texto115;Texto117;Texto119;Texto124;marcador;Texto91;Texto129;Texto126;Similar;xlocal;Texto134
;;;;35/42;1;Externo;9060120;CROUTON INTEGRAL FEITO COM ALHO 100G C.F. CX C/20;CROUTON;CROUTON ALHO 500;CX;52,60;0,00;N;;;2;9060120;;2,6300;;;;CROUTON INTEGRAL FEITO COM ALHO 100G C.F. CX C/20
0;0;0;C;35/42;1;Externo;9060101;CROUTON INTEGRAL FEITO COM ALHO 100G CF;CROUTON;CROUTON ALHO 500;UN;2,63;0,00;N;;300;0,1;9060101;90601;2,6300;7898707290601;;;CROUTON INTEGRAL FEITO COM ALHO 100G CF
23;0;;;35/42;1;Externo;195201;CROUTON NATURAL 120G;CROUTON;CROUTON  NATURAL;UN;9,85;30,00;;;;0,12;195201;1952;9,8500;7896207801952;;P ACAB - 2107;CROUTON NATURAL 120G
23;0;;;35/42;1;Externo;195215;CROUTON NATURAL 120G CX C/15;CROUTON;CROUTON  NATURAL;CX;147,75;2,00;;;80;1,8;195215;;9,8500;;;P ACAB - 2107;CROUTON NATURAL 120G CX C/15
23;0;;;35/42;1;Externo;221801;CROUTON NATURAL 500G;CASA FORTUNATO;Crouton Casa Fortunato;UN;28,89;100,00;;;;0,5;221801;2218;28,8900;7896207802218;;P ACAB - 2110;CROUTON NATURAL 500G
23;0;;;35/42;1;Externo;221810;CROUTON NATURAL 500G CX C/10;CROUTON;CROUTON  NATURAL;CX;288,90;10,00;;;48;5;221810;;28,8900;;;P ACAB - 2110;CROUTON NATURAL 500G CX C/10
0;0;0;C;35/42;1;Externo;9066301;CROUTON NATURAL 500G INST. CF;CASA FORTUNATO;Crouton Casa Fortunato;UN;10,11;0,00;N;;215;0,5;9066301;90663;10,1100;7898707290663;;P ACAB - 22338;CROUTON NATURAL 500G INST. CF
;;;;35/42;1;Externo;9066305;CROUTON NATURAL 500G INST. CF CX C/5;CASA FORTUNATO;Crouton Casa Fortunato;CX;50,55;0,00;N;;;2,5;9066305;;10,1100;;;P ACAB - 22338;CROUTON NATURAL 500G INST. CF CX C/5
;;;;35/42;1;Externo;9059520;CROUTON TEMPERADO 100G C.F. CX C/20;CROUTON;CROUTON ALHO 500;CX;202,20;0,00;N;;;2;9059520;;10,1100;;;;CROUTON TEMPERADO 100G C.F. CX C/20
0;0;0;C;35/42;1;Externo;9059501;CROUTON TEMPERADO 100G CF;CASA FORTUNATO;Crouton Casa Fortunato;UN;2,80;0,00;N;;;0,1;9059501;90595;2,8000;7898707290595;;;CROUTON TEMPERADO 100G CF
